Host,Label_0,Label_1,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
PSC4,N,N,1.225321722,2.837064073,2.822466836,5.076142132,3.674058523,3.433307992,4.344623057,4.791647402
PSC6,N,N,0.113566403,0.483969754,0.333564262,0.354718366,0.111533919,0.20599848,0.41557264,0.311036761
P-NO2,N,P,5.080602261,2.703555175,9.750339979,11.00850101,9.185146306,16.18559482,5.666899639,1.76534378
AP1,A,D,0.956348661,1.485286485,1.282939471,1.651275151,0.656081879,0.686661598,0.83114528,1.260959843
AP3,A,K,0.627603809,1.001316732,1.539527365,1.895908507,1.24655557,1.029992398,1.227828255,1.513151811
AP4,A,K,1.135664035,1.335088975,1.539527365,2.813283591,1.24655557,1.005468769,2.266759856,2.690047664
AP5,A,X,1.285093513,1.285023139,1.667821312,2.690966913,0.918514631,0.760232484,1.133379928,1.345023832
AP6,A,B,0.47817433,0.146859787,0.153952737,0.079505841,0.098412282,0.095642151,0.092559361,0.193347176
AP7,A,B,0.537946122,0.233640571,0.718446104,0.311907529,0.478939772,0.044142531,0.245565651,0.596854326
AP8,A,B,0.080691918,0.166886122,0.059015216,0.03424867,0.043301404,0.056404346,0.028334498,0.062207352
AP9,A,B,0.092646277,0.283706407,0.098786339,0.042810837,0.05248655,0.073570886,0.037779331,0.100876787
AM1,A,A,1.016120452,1.151514241,1.539527365,3.057916947,1.705812885,1.299752311,1.700069892,2.101599738
AM2,A,D,0.567832017,1.301711751,0.67995792,0.978533423,0.393649127,0.343330799,0.472241637,1.008767874
AH1,A,R,0.388516643,2.002633463,0.46185821,0.189590851,0.229628658,0.228069745,0.302234647,0.63888632
AH2,A,A,0.358630748,0.433903917,1.282939471,2.446333558,2.49311114,1.569512225,2.266759856,1.092831864
AH3,A,R,0.388516643,0.500658366,0.269417289,0.116200844,0.360845033,0.465948942,0.321124313,0.24378557
AH4,A,D,0.265984471,0.6842331,0.141123342,0.030579169,0.196824564,0.269759914,0.183229755,0.201753575
AH5,A,A,6.873756,16.68861219,10.64839761,5.504250505,6.56081879,8.338033695,7.178072876,7.565759056
AH6,A,B,6.873756,16.68861219,10.64839761,5.504250505,6.56081879,8.338033695,7.178072876,7.565759056
AH7,A,A,3.287448522,1.835747341,3.207348677,2.079383524,2.558719328,2.452362852,2.266759856,3.698815538
AO1,A,K,2.360985756,1.552040934,6.927873143,5.320775488,4.789397717,3.433307992,4.344623057,3.782879528
AO2,A,R,1.225321722,1.168202853,1.411233418,1.773591829,0.721690067,0.196189028,1.737849223,1.345023832
AO3,A,H,1.285093513,1.034693956,2.822466836,3.48602532,2.165070201,1.471417711,3.022346474,1.513151811
BP0,B,R,29.88589565,0.166886122,3.207348677,1.651275151,3.542842147,1.692130368,4.155726402,4.119135486
BP1,B,D,0.298858957,1.084759792,0.21809971,0.146780013,0.118094738,0.10299924,0.102004194,0.226972772
BM1,B,A,0.047817433,0.06842331,0.230929105,0.672741728,0.656081879,0.514996199,0.510020968,0.24378557
BH2,B,A,29.88589565,0.333772244,5.131757884,4.158767048,13.77771946,9.809451406,3.400139784,3.44662357
DP2,D,D,0.20920127,0.183574734,0.320734868,0.611583389,0.255871933,0.174117762,0.166229056,0.218566373
DM1,D,A,0.107589224,0.128502314,0.564493367,0.733900067,0.54454796,0.784756113,6.611382912,0.495977538
DO2,D,R,0.010758922,0.008344306,5.644933672,7.950584062,4.002099462,3.678544277,7.74476284,3.951007507
DO3,D,H,0.001135664,0.000317084,0.029507608,0.049538255,0.03149193,0.026975991,0.030223465,0.003194432
CP1,C,D,29.88589565,0.634167263,1.924409206,1.895908507,3.411625771,1.446894082,1.171159259,0.546415932
CP2,C,D,29.88589565,166.8861219,7.95422472,1.651275151,3.73966671,2.942835422,1.038931601,3.698815538
E1,E,D,0.717261496,0.817741997,1.013522182,1.528958473,0.721690067,0.711185227,0.717807288,1.345023832
E3,E,R,0.328744852,0.450592529,0.449028815,0.305791695,0.54454796,0.784756113,0.680027957,0.664105517
E5,E,H,17.03496052,16.68861219,2.694172889,2.87444193,2.033853825,1.98641391,2.83344982,3.951007507
E6,E,X,0.152418068,0.183574734,0.21809971,0.348602532,0.54454796,5.395198274,2.83344982,0.504383937
E7,E,H,2.360985756,2.002633463,5.388345778,4.03645037,5.117438656,4.904725703,6.233589603,7.481695066
E8,E,B,4.482884348,16.68861219,3.335642624,5.381933827,5.64230416,6.376143414,6.800279567,19.33471759
E11,E,H,11.6554993,16.68861219,7.569342878,19.57066846,3.017976643,5.149961988,11.14490262,15.13151811