Host,SMILES,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
AP8,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC=C(C(N[C@@H](CC6=CC=C(O)C=C6)C(O)=O)=O)C=C5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,0,0,0,0,0,0,0,0
AH4,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC6=C(C=CC=C6)N5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,0,0,0,0,0,0,0,0
AH3,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC=CO5)C=C1CC6=C(O)C(C4)=CC(S(=O)(O)=O)=C6,0,0,0,0,0,0,0,0
DP2,OC1=C(CC2=CC(C3=CC=C(C(O)=O)C=C3)=CC(C4)=C2O)C=C(C5=CC=C(C(O)=O)C=C5)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,0,0,0,0,0,0,0,0
AH1,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC6=C(C=CC=C6)O5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,0,1,0,0,0,0,0,0
DM1,OC1=C(CC2=CC(C3=CC(C(C)=O)=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC(C(C)=O)=C5)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,0,0,0,0,0,0,1,0
DO3,OC1=C(CC2=CC(C3=C(F)C=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC=C5F)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,0,0,0,0,0,0,0,0
AP9,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC5=CC=C(C=C5)O)=O)CC6=CC(S(=O)(O)=O)=CC(CC7=CC(S(=O)(O)=O)=CC3=C7O)=C6O,0,0,0,0,0,0,0,0
BM1,OC1=C(C=C(C2=CC=CC(C(C)=O)=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=CC(C(C)=O)=C7)=CC4=C6O)=C5O,0,0,0,0,0,0,0,0
BP1,OC1=C(C=C(C2=CC=C(CC(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=C(CC(O)=O)C=C7)=CC4=C6O)=C5O,0,1,0,0,0,0,0,0
AP6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(O)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0,0,0,0,0,0,0,0
E3,OC1=C(CC2=CC(NC(C3=CC=C(C4=CC=CC=C4)C=C3)=O)=CC(C5)=C2O)C=C(S(=O)(O)=O)C=C1CC6=C(O)C(CC7=C(O)C5=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,0,0,0,0,0,0,0,0
E6,OC1=C(CC2=CC(NC(OCC3=CC=CC=C3)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,0,0,0,0,0,1,1,0
AP7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0,0,0,0,0,0,0,0
CP2,OC1=C(C=C(C2=CC=C(C(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(C6=CC=C(C(O)=O)C=C6)=CC(CC7=CC(C8=CC=C(C(O)=O)C=C8)=CC4=C7O)=C5O,1,1,1,0,1,1,0,1
E7,OC1=C(CC2=CC(NC(C3=C(F)C(F)=C(F)C(F)=C3F)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1,1,1,1,1,1,1,1
BH2,OC1=C(C=C(C2=CC=CN=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CN=CC=C7)=CC4=C6O)=C5O,1,0,1,1,1,1,1,1
PSC4,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)S(=O)(O)=O)CC4=CC(S(=O)(O)=O)=CC(CC5=CC(S(=O)(O)=O)=CC3=C5O)=C4O,1,1,1,1,1,1,1,1
AH7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=NC=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,1,1,1,1,1
E11,OC1=C(CC2=CC(NS(C3=C(F)C(F)=C(F)C(F)=C3F)(=O)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1,1,1,1,1,1,1,1
P-NO2,OC1=C(CC2=CC([N+]([O-])=O)=CC(C3)=C2O)C=C(S(=O)(O)=O)C=C1CC4=C(O)C(CC5=C(O)C3=CC(S(=O)(O)=O)=C5)=CC(S(=O)(O)=O)=C4,1,1,1,1,1,1,1,1
E8,OC1=C(CC2=CC(NC(NC3=CC=C(C)C=C3)=S)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1,1,1,1,1,1,1,1
AH6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CN=CN4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,1,1,1,1,1
AH5,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CN=CN=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,1,1,1,1,1
AO1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC=C4C)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,1,1,1,1,1
AP1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(CC(O)=O)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,0,0,0,0,0,0
AP3,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C(C)(C)C)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0,0,1,1,1,1,0,1
AP4,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,1,1,0,1,1
E1,OC1=C(CC2=CC(NS(C3=CC=C(C(O)=O)C=C3)(=O)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,0,0,0,0,0,0,0,1
AP5,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C5=CC=CC=C5)C=C4)CC6=CC(S(=O)(O)=O)=CC(CC7=CC(S(=O)(O)=O)=CC3=C7O)=C6O,1,1,1,1,0,0,0,1
AO2,OC1=C(CC2=CC(S(=O)(O)=O)=CC(C3)=C2O)C=C(C4=CC=CC=C4OC)C=C1CC5=C(O)C(CC6=C(O)C3=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1,1,0,1,0,0,1,1
DO2,OC1=C(CC2=CC(C3=C(OC)C=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC=C5OC)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,0,0,1,1,1,1,1,1
AM2,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC(C(O)=O)=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0,1,0,0,0,0,0,0
AH2,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CN=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0,0,0,1,1,1,1,0
BP0,OC1=C(C=C(C2=CC=CC=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=CC=C7)=CC4=C6O)=C5O,1,0,1,0,1,1,1,1
AO3,OC1=C(CC2=CC(S(=O)(O)=O)=CC(C3)=C2O)C=C(C4=CC=CC=C4F)C=C1CC5=C(O)C(CC6=C(O)C3=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1,1,1,1,1,1,1,1
CP1,OC1=C(C=C(C2=CC=C(CC(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(C6=CC=C(CC(O)=O)C=C6)=CC(CC7=CC(C8=CC=C(CC(O)=O)C=C8)=CC4=C7O)=C5O,1,0,1,1,1,1,0,0
AM1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC(C(C)=O)=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,1,1,1,1,1