Host,Label_0,Label_1,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s,X,Y,cluster,pub_number
PSC4,N,N,1.269921324,0.92275416,1.560332222,1.333748205,1.333939937,1.389506223,1.502346645,6.7295265,6.582513,0,1
E7,E,H,0.92161463,1.569381325,1.331146356,1.665105341,1.690614881,1.750519568,1.947931747,5.9191046,7.2848997,0,1
E5,E,H,3.041878166,0.876234145,0.991639216,0.742383718,0.786746669,0.962062208,1.309442979,9.317055,6.6247478,0,1
CP2,C,D,5.344463259,1.958846092,0.43732848,1.351447782,1.179789257,-0.041239901,1.243485011,10.622774,6.8119235,0,1
BH2,B,A,-0.870144839,1.520591161,1.360999319,2.655504045,2.383762061,1.144383765,1.172867444,4.8291597,8.650281,0,1
AO1,A,K,0.66672238,1.820695754,1.607399733,1.598855955,1.333939937,1.389506223,1.265957867,5.530535,7.986778,0,1
E8,E,B,3.041878166,1.089808245,1.618828428,1.76274381,1.952979145,1.837530945,2.897374686,12.75726,6.706539,0,1
AH6,A,B,3.041878166,2.250552315,1.641301284,1.9135667,2.221243132,1.891598167,1.959105047,11.662797,6.6609254,0,1
AH5,A,A,3.041878166,2.250552315,1.641301284,1.9135667,2.221243132,1.891598167,1.959105047,12.257164,7.472782,0,1
AH7,A,A,0.834603253,1.050587532,0.667852139,0.97195816,0.9974677,0.738918657,1.243485011,4.8433247,6.219238,0,1
E11,E,H,3.041878166,1.909249151,2.90981261,1.137037911,1.739405045,2.331549451,2.652252228,12.363228,6.9301276,0,1
P-NO2,N,P,1.221719222,2.162445047,2.334448465,2.250038937,2.884537349,1.655209389,0.503817815,6.3730555,8.059563,0,1
PSC6,N,N,-0.498581283,-1.212776848,-1.100650468,-2.160975235,-1.47947078,-0.957530633,-1.232371803,-13.360204,2.6054556,1,0
E6,E,X,-1.46798184,-1.637660042,-1.118042211,-0.575347971,1.78592506,0.962062208,-0.748945154,-9.902801,4.052128,1,0
E3,E,R,-0.570040247,-0.915525324,-1.249070474,-0.575347971,-0.141966583,-0.465054148,-0.473841864,-9.734479,3.168829,1,0
DO3,D,H,-7.829193413,-3.637964263,-3.069229417,-3.425572661,-3.512392306,-3.578569457,-5.810873742,-16.6468,-1.14366,1,0
DM1,D,A,-1.824656784,-0.686683752,-0.373601736,-0.575347971,-0.141966583,1.809360068,-0.765752272,-9.947388,4.799111,1,0
DP2,D,D,-1.46798184,-1.251997561,-0.555923293,-1.330626933,-1.647607702,-1.873821365,-1.585193178,-12.333411,2.1847024,1,0
BM1,B,A,-2.454890139,-1.580501628,-0.460613113,-0.389018393,-0.563180048,-0.75273622,-1.475993886,-11.266283,2.9889207,1,0
AP8,A,B,-1.56329202,-2.944817082,-3.438326881,-3.10711893,-2.774793363,-3.643107978,-2.841809716,-16.011957,-0.8354853,1,0
AP9,A,B,-1.032663769,-2.429653057,-3.21518333,-2.914747037,-2.509090197,-3.355425905,-2.358383066,-17.185732,-0.5542503,1,0
AH3,A,R,-0.464679731,-1.426350948,-2.2166545,-0.986855394,-0.663263507,-1.215359742,-1.475993886,-12.891479,3.4883835,1,0
AH1,A,R,0.92161463,-0.887354448,-1.727106274,-1.438840517,-1.377688086,-1.275984364,-0.512556376,-14.02924,2.3045452,1,0
AH4,A,D,-0.152305046,-2.072978113,-3.551655567,-1.592991197,-1.209807213,-1.7764472,-1.665235886,-15.741227,0.68399554,1,0
AP7,A,B,-1.226819783,-0.445521695,-1.229267846,-0.703729138,-3.019915821,-1.483623729,-0.580609839,-12.972893,1.6205922,1,0
BP1,B,D,0.308510157,-1.637660042,-1.983039649,-2.103816821,-2.172617961,-2.362174132,-1.54745285,-14.877774,1.1000949,1,0
AP6,A,B,-1.691125392,-1.985966736,-2.596144122,-2.286138378,-2.246725933,-2.459337881,-1.7077955,-16.4785,-0.047676153,1,0
AP3,A,K,0.228467449,0.316618357,0.575478818,0.252835493,0.129967132,0.125814184,0.349667135,-1.0819281,6.0521026,2,2
AP5,A,X,0.477928309,0.396661064,0.925681248,-0.052546156,-0.173715282,0.045771476,0.231884099,-2.0507574,5.4919868,2,2
BP0,B,R,-1.56329202,1.050587532,0.43732848,1.297380561,0.626404019,1.34505446,1.351115675,2.0924864,8.270178,2,2
DO2,D,R,-4.559024294,1.615901341,2.009026064,1.419270378,1.402932808,1.967584074,1.309442979,2.8764977,8.699049,2,2
AP4,A,K,0.516149522,0.316618357,0.970133011,0.252835493,0.105869581,0.738918657,0.92503128,0.06641463,5.4802313,2,2
CP1,C,D,-0.228290953,0.539761908,0.575478818,1.259640233,0.469834958,0.078561299,-0.668902446,0.15575294,7.6682506,2,2
AP1,A,D,0.622759257,0.1342968,0.43732848,-0.389018393,-0.275497976,-0.264383452,0.167345578,-3.7156181,5.4878635,2,2
E1,E,D,0.025943185,-0.101425534,0.360367439,-0.293708213,-0.240406656,-0.410986926,0.231884099,-3.723538,4.7855854,2,2
AH2,A,A,-0.607780575,0.1342968,0.830371068,0.945982674,0.551180597,0.738918657,0.024244734,0.9880601,8.288022,2,2
AO3,A,H,0.261257272,0.92275416,1.184542882,0.804904075,0.486642076,1.026600729,0.349667135,1.6063114,6.754519,2,2
AM2,A,D,0.490831714,-0.500581472,-0.085919664,-0.899844017,-0.968645156,-0.829697261,-0.055797973,-4.817682,4.764948,2,2
AM1,A,A,0.368229392,0.316618357,1.053514619,0.566493052,0.362589428,0.451236584,0.678171202,0.55504954,6.3003106,2,2
AO2,A,R,0.382618129,0.22960698,0.508787444,-0.293708213,-1.528260944,0.473215491,0.231884099,-2.8068175,5.2924657,2,2