Host,SMILES,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
AP8,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC=C(C(N[C@@H](CC6=CC=C(O)C=C6)C(O)=O)=O)C=C5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,-1.563292,-2.944817082,-3.438326881,-3.10711893,-2.774793363,-3.643107978,-2.841809686
AH4,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC6=C(C=CC=C6)N5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,-0.152305026,-2.072978113,-3.551655567,-1.592991197,-1.209807213,-1.7764472,-1.665235856
AH3,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC=CO5)C=C1CC6=C(O)C(C4)=CC(S(=O)(O)=O)=C6,-0.464679711,-1.426350948,-2.2166545,-0.986855394,-0.663263507,-1.215359742,-1.475993856
DP2,OC1=C(CC2=CC(C3=CC=C(C(O)=O)C=C3)=CC(C4)=C2O)C=C(C5=CC=C(C(O)=O)C=C5)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-1.46798182,-1.251997561,-0.555923293,-1.330626933,-1.647607702,-1.873821365,-1.585193148
AH1,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC6=C(C=CC=C6)O5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,0.92161465,-0.887354448,-1.727106274,-1.438840517,-1.377688086,-1.275984364,-0.512556346
DM1,OC1=C(CC2=CC(C3=CC(C(C)=O)=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC(C(C)=O)=C5)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-1.824656764,-0.686683752,-0.373601736,-0.575347971,-0.141966583,1.809360068,-0.765752242
DO3,OC1=C(CC2=CC(C3=C(F)C=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC=C5F)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-7.829193393,-3.637964263,-3.069229417,-3.425572661,-3.512392306,-3.578569457,-5.810873712
AP9,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC5=CC=C(C=C5)O)=O)CC6=CC(S(=O)(O)=O)=CC(CC7=CC(S(=O)(O)=O)=CC3=C7O)=C6O,-1.032663749,-2.429653057,-3.21518333,-2.914747037,-2.509090197,-3.355425905,-2.358383036
BM1,OC1=C(C=C(C2=CC=CC(C(C)=O)=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=CC(C(C)=O)=C7)=CC4=C6O)=C5O,-2.454890119,-1.580501628,-0.460613113,-0.389018393,-0.563180048,-0.75273622,-1.475993856
BP1,OC1=C(C=C(C2=CC=C(CC(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=C(CC(O)=O)C=C7)=CC4=C6O)=C5O,0.308510177,-1.637660042,-1.983039649,-2.103816821,-2.172617961,-2.362174132,-1.54745282
AP6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(O)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,-1.691125372,-1.985966736,-2.596144122,-2.286138378,-2.246725933,-2.459337881,-1.70779547
E3,OC1=C(CC2=CC(NC(C3=CC=C(C4=CC=CC=C4)C=C3)=O)=CC(C5)=C2O)C=C(S(=O)(O)=O)C=C1CC6=C(O)C(CC7=C(O)C5=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-0.570040227,-0.915525324,-1.249070474,-0.575347971,-0.141966583,-0.465054148,-0.473841834
E6,OC1=C(CC2=CC(NC(OCC3=CC=CC=C3)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,-1.46798182,-1.637660042,-1.118042211,-0.575347971,1.78592506,0.962062208,-0.748945124
PSC6,OC1=C2C=C(S(=O)(O)=O)C=C1CC3=C(O)C(CC4=CC(S(=O)(O)=O)=CC(CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC(CC(C=C(S(=O)(O)=O)C=C7C2)=C7O)=C6O)=C5O)=C4O)=CC(S(=O)(O)=O)=C3,-0.498581263,-1.212776848,-1.100650468,-2.160975235,-1.47947078,-0.957530633,-1.232371773
AP7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,-1.226819763,-0.445521695,-1.229267846,-0.703729138,-3.019915821,-1.483623729,-0.580609809
CP2,OC1=C(C=C(C2=CC=C(C(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(C6=CC=C(C(O)=O)C=C6)=CC(CC7=CC(C8=CC=C(C(O)=O)C=C8)=CC4=C7O)=C5O,5.344463279,1.958846092,0.43732848,1.351447782,1.179789257,-0.041239901,1.243485041
E5,OC1=C(CC2=CC(NC(C3=CC=C(Br)C=C3)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,3.041878186,0.876234145,0.991639216,0.742383718,0.786746669,0.962062208,1.309443009
E7,OC1=C(CC2=CC(NC(C3=C(F)C(F)=C(F)C(F)=C3F)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,0.92161465,1.569381325,1.331146356,1.665105341,1.690614881,1.750519568,1.947931777
BH2,OC1=C(C=C(C2=CC=CN=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CN=CC=C7)=CC4=C6O)=C5O,-0.870144819,1.520591161,1.360999319,2.655504045,2.383762061,1.144383765,1.172867474
PSC4,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)S(=O)(O)=O)CC4=CC(S(=O)(O)=O)=CC(CC5=CC(S(=O)(O)=O)=CC3=C5O)=C4O,1.269921344,0.92275416,1.560332222,1.333748205,1.333939937,1.389506223,1.502346675
AH7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=NC=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.834603273,1.050587532,0.667852139,0.97195816,0.9974677,0.738918657,1.243485041
E11,OC1=C(CC2=CC(NS(C3=C(F)C(F)=C(F)C(F)=C3F)(=O)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,3.041878186,1.909249151,2.90981261,1.137037911,1.739405045,2.331549451,2.652252258
P-NO2,OC1=C(CC2=CC([N+]([O-])=O)=CC(C3)=C2O)C=C(S(=O)(O)=O)C=C1CC4=C(O)C(CC5=C(O)C3=CC(S(=O)(O)=O)=C5)=CC(S(=O)(O)=O)=C4,1.221719242,2.162445047,2.334448465,2.250038937,2.884537349,1.655209389,0.503817845
E8,OC1=C(CC2=CC(NC(NC3=CC=C(C)C=C3)=S)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,3.041878186,1.089808245,1.618828428,1.76274381,1.952979145,1.837530945,2.897374716
AH6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CN=CN4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,3.041878186,2.250552315,1.641301284,1.9135667,2.221243132,1.891598167,1.959105077
AH5,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CN=CN=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,3.041878186,2.250552315,1.641301284,1.9135667,2.221243132,1.891598167,1.959105077
AO1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC=C4C)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.6667224,1.820695754,1.607399733,1.598855955,1.333939937,1.389506223,1.265957897
AP1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(CC(O)=O)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.622759277,0.1342968,0.43732848,-0.389018393,-0.275497976,-0.264383452,0.167345608
AP3,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C(C)(C)C)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.228467469,0.316618357,0.575478818,0.252835493,0.129967132,0.125814184,0.349667165
AP4,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.516149542,0.316618357,0.970133011,0.252835493,0.105869581,0.738918657,0.92503131
E1,OC1=C(CC2=CC(NS(C3=CC=C(C(O)=O)C=C3)(=O)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,0.025943205,-0.101425534,0.360367439,-0.293708213,-0.240406656,-0.410986926,0.231884129
AP5,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C5=CC=CC=C5)C=C4)CC6=CC(S(=O)(O)=O)=CC(CC7=CC(S(=O)(O)=O)=CC3=C7O)=C6O,0.477928329,0.396661064,0.925681248,-0.052546156,-0.173715282,0.045771476,0.231884129
AO2,OC1=C(CC2=CC(S(=O)(O)=O)=CC(C3)=C2O)C=C(C4=CC=CC=C4OC)C=C1CC5=C(O)C(CC6=C(O)C3=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,0.382618149,0.22960698,0.508787444,-0.293708213,-1.528260944,0.473215491,0.231884129
DO2,OC1=C(CC2=CC(C3=C(OC)C=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC=C5OC)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-4.559024274,1.615901341,2.009026064,1.419270378,1.402932808,1.967584074,1.309443009
AM2,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC(C(O)=O)=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.490831734,-0.500581472,-0.085919664,-0.899844017,-0.968645156,-0.829697261,-0.055797943
AH2,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CN=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,-0.607780555,0.1342968,0.830371068,0.945982674,0.551180597,0.738918657,0.024244764
BP0,OC1=C(C=C(C2=CC=CC=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=CC=C7)=CC4=C6O)=C5O,-1.563292,1.050587532,0.43732848,1.297380561,0.626404019,1.34505446,1.351115705
AO3,OC1=C(CC2=CC(S(=O)(O)=O)=CC(C3)=C2O)C=C(C4=CC=CC=C4F)C=C1CC5=C(O)C(CC6=C(O)C3=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,0.261257292,0.92275416,1.184542882,0.804904075,0.486642076,1.026600729,0.349667165
CP1,OC1=C(C=C(C2=CC=C(CC(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(C6=CC=C(CC(O)=O)C=C6)=CC(CC7=CC(C8=CC=C(CC(O)=O)C=C8)=CC4=C7O)=C5O,-0.228290933,0.539761908,0.575478818,1.259640233,0.469834958,0.078561299,-0.668902416
AM1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC(C(C)=O)=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.368229412,0.316618357,1.053514619,0.566493052,0.362589428,0.451236584,0.678171232