Host,Label_0,Label_1,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s,X,Y,cluster
AP8,A,B,0,-3.079113882,-5.184988681,-5.02068563,-3.772261063,-4.199705078,-2.603690186,-9.236816,3.57168,0
AH4,A,D,1.410986974,-2.207274913,-5.298317367,-3.506557897,-2.207274913,-2.3330443,-1.427116356,-8.806261,5.147327,0
AH3,A,R,1.098612289,-1.560647748,-3.9633163,-2.900422094,-1.660731207,-1.771956842,-1.237874356,-6.876619,8.568862,0
DP2,D,D,0.09531018,-1.386294361,-2.302585093,-3.244193633,-2.645075402,-2.430418465,-1.347073648,-5.5044994,7.7427673,0
AH1,A,R,2.48490665,-1.021651248,-3.473768074,-3.352407217,-2.375155786,-1.832581464,-0.274436846,-7.3730702,7.2199903,0
DM1,D,A,-0.261364764,-0.820980552,-2.120263536,-2.488914671,-1.139434283,1.252762968,-0.527632742,-3.7283971,10.159578,0
DO3,D,H,-6.265901393,-3.772261063,-4.815891217,-5.339139361,-4.509860006,-4.135166557,-5.572754212,-8.901182,2.9727943,0
AP9,A,B,0.530628251,-2.563949857,-4.96184513,-4.828313737,-3.506557897,-3.912023005,-2.120263536,-9.903613,3.693361,0
BM1,B,A,-0.891598119,-1.714798428,-2.207274913,-2.302585093,-1.560647748,-1.30933332,-1.237874356,-5.073703,9.031546,0
BP1,B,D,1.871802177,-1.771956842,-3.729701449,-4.017383521,-3.170085661,-2.918771232,-1.30933332,-8.01752,5.888849,0
AP6,A,B,-0.127833372,-2.120263536,-4.342805922,-4.199705078,-3.244193633,-3.015934981,-1.46967597,-9.403623,4.416603,0
E3,E,R,0.993251773,-1.049822124,-2.995732274,-2.488914671,-1.139434283,-1.021651248,-0.235722334,-5.2714763,10.360964,0
E6,E,X,0.09531018,-1.771956842,-2.864704011,-2.488914671,0.78845736,0.405465108,-0.510825624,-4.2585926,10.572375,0
PSC6,N,N,1.064710737,-1.347073648,-2.847312268,-4.074541935,-2.47693848,-1.514127733,-0.994252273,-6.898941,7.768856,0
AP7,A,B,0.336472237,-0.579818495,-2.975929646,-2.617295838,-4.017383521,-2.040220829,-0.342490309,-5.9767485,6.9675064,0
CP2,C,D,6.907755279,1.824549292,-1.30933332,-0.562118918,0.182321557,-0.597837001,1.481604541,14.039479,10.0645,1
E5,E,H,4.605170186,0.741937345,-0.755022584,-1.171182982,-0.210721031,0.405465108,1.547562509,12.76859,10.560059,1
E7,E,H,2.48490665,1.435084525,-0.415515444,-0.248461359,0.693147181,1.193922468,2.186051277,9.433014,12.377513,1
BH2,B,A,0.693147181,1.386294361,-0.385662481,0.741937345,1.386294361,0.587786665,1.410986974,8.935578,13.981185,1
PSC4,N,N,2.833213344,0.78845736,-0.186329578,-0.579818495,0.336472237,0.832909123,1.740466175,9.591961,11.625802,1
AH7,A,A,2.397895273,0.916290732,-1.078809661,-0.94160854,0,0.182321557,1.481604541,7.720062,12.525958,1
E11,E,H,4.605170186,1.774952351,1.16315081,-0.776528789,0.741937345,1.774952351,2.890371758,16.266733,9.67816,1
P-NO2,N,P,2.785011242,2.028148247,0.587786665,0.336472237,1.887069649,1.098612289,0.741937345,10.063854,12.879461,1
E8,E,B,4.605170186,0.955511445,-0.127833372,-0.15082289,0.955511445,1.280933845,3.135494216,15.525782,10.024233,1
AH6,A,B,4.605170186,2.116255515,-0.105360516,0,1.223775432,1.335001067,2.197224577,14.884438,9.567726,1
AH5,A,A,4.605170186,2.116255515,-0.105360516,0,1.223775432,1.335001067,2.197224577,15.655588,9.544934,1
AO1,A,K,2.2300144,1.686398954,-0.139262067,-0.314710745,0.336472237,0.832909123,1.504077397,9.125947,13.081966,1
AP1,A,D,2.186051277,0,-1.30933332,-2.302585093,-1.272965676,-0.820980552,0.405465108,-0.30771318,14.947132,2
AP3,A,K,1.791759469,0.182321557,-1.171182982,-1.660731207,-0.867500568,-0.430782916,0.587786665,2.5398889,15.211231,2
AP4,A,K,2.079441542,0.182321557,-0.776528789,-1.660731207,-0.891598119,0.182321557,1.16315081,3.85897,14.484425,2
E1,E,D,1.589235205,-0.235722334,-1.386294361,-2.207274913,-1.237874356,-0.967584026,0.470003629,-0.42485887,14.074845,2
AP5,A,X,2.041220329,0.262364264,-0.820980552,-1.966112856,-1.171182982,-0.510825624,0.470003629,1.3580829,14.959672,2
AO2,A,R,1.945910149,0.09531018,-1.237874356,-2.207274913,-2.525728644,-0.083381609,0.470003629,0.48924443,14.816976,2
DO2,D,R,-2.995732274,1.481604541,0.262364264,-0.494296322,0.405465108,1.410986974,1.547562509,7.3821783,15.357349,2
AM2,A,D,2.054123734,-0.634878272,-1.832581464,-2.813410717,-1.966112856,-1.386294361,0.182321557,-1.4108374,13.847699,2
AH2,A,A,0.955511445,0,-0.916290732,-0.967584026,-0.446287103,0.182321557,0.262364264,6.048122,16.041958,2
BP0,B,R,0,0.916290732,-1.30933332,-0.616186139,-0.371063681,0.78845736,1.589235205,6.7124834,15.274707,2
AO3,A,H,1.824549292,0.78845736,-0.562118918,-1.108662625,-0.510825624,0.470003629,0.587786665,5.758574,14.372033,2
CP1,C,D,1.335001067,0.405465108,-1.171182982,-0.653926467,-0.527632742,-0.478035801,-0.430782916,5.006424,15.928204,2
AM1,A,A,1.931521412,0.182321557,-0.693147181,-1.347073648,-0.634878272,-0.105360516,0.916290732,4.6979213,14.586366,2